word,meaning,pos,"example","example_ko","example2","example2_ko","collocation","collocation_ko",level,synonym
abandon,포기하다/버리다,v,"He abandoned the plan when funding fell through.","자금 지원이 끊기자 그는 그 계획을 포기했다.","They had to abandon the old warehouse after the fire.","그들은 화재 이후 그 오래된 창고를 버려야 했다.","abandon ship","배를 버리고 도망치다",1,desert/forsake
abate,줄어들다/약화되다,v,"The storm finally began to abate after midnight.","폭풍은 자정이 지나서야 마침내 잦아들기 시작했다.","","","the storm abates","폭풍이 잦아들다",4,
abbreviate,줄이다/축약하다,v,"Please abbreviate the title for the header.","제목을 줄여서 머리글에 넣어 주세요.","","","abbreviate a word","단어를 줄여 쓰다",3,
abduct,납치하다,v,"Police believe the suspect abducted the child.","경찰은 용의자가 그 아이를 납치했다고 보고 있다.","The gang abducted a wealthy businessman for ransom.","그 갱단은 몸값을 요구하려고 부유한 사업가를 납치했다.","abduct a child","아이를 납치하다",2,kidnap
aberrant,정상에서 벗어난,adj,"The scientist noted an aberrant reading on the sensor.","과학자는 센서에서 비정상적인 수치를 발견했다.","","","aberrant behavior","이례적인 행동",5,
abhor,몹시 싫어하다,v,"She abhors any form of dishonesty.","그녀는 어떤 형태의 부정직함도 몹시 싫어한다.","","","abhor violence","폭력을 몹시 싫어하다",4,
abide,따르다/준수하다,v,"Employees must abide by the safety rules.","직원들은 안전 수칙을 준수해야 한다.","","","abide by the rules","규칙을 준수하다",3,
abolish,폐지하다,v,"The council voted to abolish the old tax.","의회는 오래된 세금을 폐지하기로 투표했다.","Slavery was formally abolished in the country decades ago.","노예 제도는 수십 년 전 그 나라에서 공식적으로 폐지되었다.","abolish slavery","노예제를 폐지하다",2,eliminate
abrupt,갑작스러운,adj,"His abrupt departure surprised everyone.","그의 갑작스러운 퇴사는 모두를 놀라게 했다.","The meeting came to an abrupt end when the fire alarm rang.","화재 경보가 울리자 회의는 갑작스럽게 끝났다.","abrupt end","갑작스러운 종료",2,sudden
abscond,몰래 도망치다,v,"The treasurer absconded with the club's funds.","회계 담당자가 동호회 자금을 가지고 몰래 도망쳤다.","","","abscond with the funds","자금을 갖고 몰래 도망치다",5,
absolve,면죄하다/책임을 벗겨주다,v,"The report absolved the driver of any blame.","보고서는 운전자에게 아무런 잘못이 없다고 밝혔다.","","","absolve of blame","책임을 면제하다",5,
abstain,자제하다/기권하다,v,"Two members chose to abstain from the vote.","두 명의 회원이 투표를 기권하기로 했다.","","","abstain from voting","투표를 기권하다",3,
abundant,풍부한,adj,"The region has abundant natural resources.","그 지역은 천연자원이 풍부하다.","Fresh fruit was abundant at the local market this summer.","이번 여름 지역 시장에는 신선한 과일이 풍부했다.","abundant resources","풍부한 자원",2,plentiful
accede,동의하다/응하다,v,"The manager finally acceded to their request.","매니저는 결국 그들의 요청에 동의했다.","","","accede to a request","요청에 응하다",5,
accentuate,강조하다/두드러지게 하다,v,"The lighting accentuated the sharp angles of the building.","조명이 그 건물의 날카로운 각을 두드러지게 했다.","","","accentuate the positive","긍정적인 면을 강조하다",4,
